id;name;article_A1;article_A2;article_A3;article_A4;article_B1;article_B2;article_B3;article_B4;guidance_d_c;guidance_m_c;patent;software;first_doc
1;Adriana Stella Cardoso Lessa de Oliveira;1;4;0;5;1;0;5;0;0;13;0;0;2008
2;Magno Clery da Palma-Santos;1;0;4;0;0;0;0;0;0;0;0;0;2021
3;Joelma Boaventura Da Silva;0;0;0;1;1;1;1;0;0;0;0;0;0
4;Daniel Deivson Alves Portella;1;0;0;0;0;2;0;0;0;0;0;0;2021
5;Lucia de Fatima Oliveira de Jesus;0;0;0;0;1;0;0;0;0;1;0;0;2009
6;Cláudia Paranhos de Jesus Portela;0;1;0;4;0;0;0;0;0;16;0;0;2013
7;Maria do Socorro Costa São Mateus;0;1;0;1;0;2;0;0;0;14;0;0;2008
8;Williane Silva Corôa;1;1;1;0;0;0;0;0;0;0;0;0;2022
9;Luiz Carlos Salay;1;4;3;2;2;0;0;0;4;24;1;0;2002
10;Valfredo Azevedo Lemos;14;13;4;0;0;0;0;0;7;15;4;0;2001
11;Erickson Fabiano Moura Sousa Silva;0;0;0;0;0;0;1;0;0;0;0;0;2023
12;Alba Benemérita Alves Vilela;4;0;4;10;27;7;4;3;11;17;0;0;2003
13;Victor Goyannes Dill Orrico;6;1;6;5;0;1;1;0;2;15;0;0;2012
14;Anibal de Freitas Santos Junior;4;8;3;1;3;0;0;3;2;19;0;1;2009
15;Rosemary Lapa de Oliveira;0;4;2;4;2;3;0;0;3;14;0;0;2013
16;Kleide Iraci Marques Silva;0;0;1;0;0;0;0;0;0;0;0;0;2021
17;Darcy Ribeiro de Castro;1;1;0;0;1;1;0;1;0;0;0;0;2014
18;Andrea Tourinho Pacheco de Miranda;0;0;0;0;0;0;0;0;0;0;0;0;0
19;Janio Roque Barros de Castro;1;1;2;3;0;0;0;0;1;9;0;0;2008
20;João Diogenes Ferreira dos Santos;1;0;1;1;1;2;1;2;4;16;0;0;2007
21;Andrecksa Viana Oliveira Sampaio;0;5;1;1;2;0;0;1;0;13;0;0;2013
22;Cristiane Gomes Ferreira;0;0;0;1;1;1;0;1;0;0;0;0;0
23;José Welton Ferreira dos Santos Junior;0;0;0;0;0;1;1;0;0;0;0;0;2021
24;Dayse Lago de Miranda;0;0;0;0;0;0;0;0;0;0;0;0;2018
25;Gilton Carlos Anisio de Albuquerque;0;0;0;0;0;1;0;0;0;0;0;0;2014
26;Gilmar Alves Trindade;0;0;0;2;0;0;0;0;0;1;0;0;2011
27;Carolina Gusmão Souza;0;0;0;0;0;0;0;0;0;2;0;0;2015
28;José Aparecido Alves Pereira;0;0;0;0;0;0;0;0;0;0;0;0;2021
29;Cássio van den Berg;9;9;4;14;6;0;0;0;18;7;0;0;2000
30;Ivandro Pinto de Menezes;0;0;0;0;0;0;0;0;0;0;0;0;2022
31;Patricia Santos Pereira Lima;0;0;0;0;1;0;0;0;0;0;0;0;2008
32;Emanuella Gomes Maia;5;1;0;0;3;1;0;0;0;0;0;0;2020
33;Marjorie Cseko Nolasco;2;5;0;0;0;0;0;0;0;23;0;0;2002
34;Carina Oliveira dos Santos;0;1;1;1;0;0;1;1;0;0;0;0;2018
35;Joceval Andrade Bitencourt;0;0;0;0;0;0;0;0;0;0;0;0;2008
36;Maria Cristina Dantas Pina;0;3;1;0;0;0;2;0;0;19;0;0;2009
